Input.victimID,Answer.Q1Url
788,http://www.wthr.com/story/20536999/2-shot-1-killed-in-east-indianapolis-shooting
9725,http://www.wishtv.com/news/local/suspect-shot-by-plainfield-police-idd
797,http://www.nbcdfw.com/news/local/Husband-Gets-50-Years-For-Killing-Wife-in-UTSW-Parking-Garage-230667041.html
11016,http://www.fresnobee.com/2013/10/30/3580334/man-killed-while-trying-to-rob.html
6903,http://www.koco.com/news/oklahomanews/okc/1-killed-during-deadly-oklahoma-city-shooting-3-injured/-/11777584/20982416/-/v3rau7z/-/index.html
9783,http://www.wearecentralpa.com/story/new-details-in-ashville-shooting/d/story/vEvSl6lJkkC6jZLODA_l5g
9788,http://www.wearecentralpa.com/story/police-release-details-in-trooper-shooting-standoff/d/story/yhvM6NeDPkqsDmI0FMGP1g
9810,http://www.mysanantonio.com/news/local/article/Shooting-victim-a-possible-witness-at-trial-4857289.php
11056,http://www.myharlingennews.com/?p=40486
2936,http://www.localnews8.com/news/More-details-released-in-Petco-shooting/-/308662/19325786/-/fc4bld/-/index.html
842,http://www.fredericknewspost.com/locations/local/frederick_county/article_04bf0da2-4e3b-11e3-8df4-001a4bcf6878.html
2944,http://wtvr.com/2013/03/15/two-dead-in-chesterfield-home/
11067,http://www.ci.yuma.az.us/news/29323.htm
7287,http://www.natchezdemocrat.com/2013/07/24/man-dies-one-arrested-in-connection-with-shooting/
11141,http://www.newsnet5.com/news/local-news/oh-huron/us-224-closed-between-sr-103-and-myrtle-avenue-in-willard-due-to-emergency
6967,http://www.nbcdfw.com/news/local/Police-Homeless-Man-Fatally-Shot-During-Attack-on-Security-Guard-215576311.html
7330,http://www.ktul.com/story/23031454/tulsa-man-charged-with-murder-in-shooting-death-of-roommate
9898,http://www.nbcnewyork.com/news/local/Woman-Shot-Chest-Dies-Clinton-Hill-Brooklyn-Dekalb-226014691.html
6989,http://www.expressnews.com/news/local/article/Family-frustrated-by-man-s-fatal-shooting-by-cop-4695933.php#/0
7345,http://www.wboy.com/story/22937993/update-4-people-dead-after-shooting-in-clarksburg-sidney-muller
7032,http://www.nbcmiami.com/news/Man-Shot-and-Killed-in-Front-Yard-Miami-Dade-Police-215813291.html
7361,http://nocera.blogs.nytimes.com/2013/07/29/weekend-gun-report-july-26-28-2013/
11190,http://www.nydailynews.com/new-york/gunman-ghostface-mask-helped-murder-3-cops-article-1.1504175
899,http://www.examiner.com/article/cincinnati-police-investigate-the-city-s-first-homicide-2013
7364,http://www.actionnewsjax.com/mostpopular/story/Ex-husband-is-suspect-in-Oakleaf-killing/lkguVRRrk0-M5OpivB41uA.cspx
901,http://usgunviolence.wordpress.com/2013/01/11/killed-daniel-mcneely-owasso-ok/
9930,http://wtvr.com/2013/10/02/vernon-poe-death-investigation/
7076,http://www.suntimes.com/21406020-761/man-shot-to-death-in-south-loop.html
923,http://archive.wbir.com/rss/article/249400/2/One-person-dead-following-apartment-shooting-
7099,http://www.nola.com/music/index.ssf/2013/07/longtime_new_orleans_jazz_guit.html
7394,http://www.wspa.com/story/22947746/1-dead-and-1-injured-in-anderson-shooting-crash
3076,http://usgunviolence.wordpress.com/2013/03/09/killed-jody-ray-snyder-valley-mi/
7399,http://blog.al.com/montgomery/2013/07/15_percent_of_montgomerys_homi.html
7403,http://articles.mcall.com/2013-07-28/news/mc-d-berks-police-shooting-20130728_1_wernersville-railroad-tracks-armed-man
7406,http://www.postandcourier.com/article/20130728/PC16/130729391
